normalize,fear,happy
0,0.02,0.22
20,0.02,0.06
40,0.01,0.06
59,0.03,0.04
79,0.02,0.12
99,0.03,0.03
119,0.02,0.02
139,0.0,0.07
158,0.02,0.09
178,0.02,0.07
198,0.03,0.06
218,0.02,0.05
238,0.01,0.03
257,0.02,0.04
277,0.02,0.04
297,0.01,0.06
317,0.03,0.04
336,0.03,0.03
356,0.02,0.04
376,0.03,0.03
396,0.02,0.06
416,0.03,0.01
435,0.02,0.04
455,0.02,0.01
475,0.06,0.01
495,0.02,0.0
515,0.02,0.0
534,0.03,0.0
554,0.04,0.0
574,0.03,0.01
594,0.02,0.0
614,0.06,0.0
633,0.02,0.0
653,0.04,0.0
673,0.02,0.0
693,0.02,0.0
713,0.04,0.0
732,0.02,0.0
752,0.03,0.0
772,0.03,0.0
792,0.05,0.0
812,0.02,0.0
831,0.04,0.0
851,0.05,0.0
871,0.03,0.0
891,0.04,0.0
910,0.01,0.0
930,0.03,0.0
950,0.02,0.0
970,0.02,0.0
990,0.01,0.0
1009,0.02,0.0
1029,0.03,0.0
1049,0.01,0.0
1069,0.04,0.0
1089,0.03,0.0
1108,0.01,0.0
1128,0.02,0.0
1148,0.01,0.0
1168,0.01,0.0
1188,0.01,0.0
1207,0.01,0.0
1227,0.02,0.0
1247,0.02,0.0
1267,0.04,0.0
1287,0.02,0.0
1306,0.03,0.0
1326,0.03,0.0
1346,0.04,0.0
1366,0.02,0.0
1386,0.02,0.0
1405,0.02,0.0
1425,0.02,0.0
1445,0.03,0.0
1465,0.01,0.0
1484,0.04,0.0
1504,0.02,0.0
1524,0.04,0.0
1544,0.03,0.0
1564,0.01,0.0
1583,0.01,0.0
1603,0.02,0.0
1623,0.02,0.0
1643,0.01,0.0
1663,0.03,0.0
1682,0.01,0.0
1702,0.02,0.0
1722,0.05,0.0
1742,0.05,0.0
1762,0.02,0.0
1781,0.03,0.0
1801,0.03,0.0
1821,0.02,0.0
1841,0.07,0.0
1861,0.05,0.0
1880,0.06,0.0
1900,0.04,0.0
1920,0.06,0.0
1940,0.04,0.0
1960,0.09,0.0
1979,0.02,0.0
1999,0.05,0.0
2019,0.05,0.0
2039,0.04,0.0
2058,0.04,0.0
2078,0.04,0.0
2098,0.03,0.0
2118,0.04,0.0
2138,0.07,0.0
2157,0.03,0.0
2177,0.02,0.0
2197,0.03,0.0
2217,0.02,0.0
2237,0.05,0.0
2256,0.03,0.0
2276,0.04,0.0
2296,0.03,0.0
2316,0.06,0.0
2336,0.04,0.0
2355,0.07,0.0
2375,0.04,0.0
2395,0.04,0.0
2415,0.01,0.0
2435,0.03,0.01
2454,0.01,0.0
2474,0.01,0.0
2494,0.02,0.0
2514,0.02,0.0
2534,0.01,0.0
2553,0.02,0.0
2573,0.04,0.0
2593,0.02,0.0
2613,0.03,0.0
2633,0.01,0.0
2652,0.04,0.0
2672,0.02,0.0
2692,0.02,0.0
2712,0.02,0.0
2731,0.03,0.0
2751,0.04,0.0
2771,0.03,0.0
2791,0.03,0.0
2811,0.02,0.0
2830,0.04,0.0
2850,0.01,0.0
2870,0.02,0.0
2890,0.02,0.0
2910,0.03,0.0
2929,0.02,0.0
2949,0.02,0.0
2969,0.04,0.0
2989,0.01,0.0
3009,0.03,0.0
3028,0.02,0.0
3048,0.03,0.0
3068,0.02,0.0
3088,0.04,0.0
3108,0.03,0.0
3127,0.03,0.0
3147,0.04,0.0
3167,0.04,0.0
3187,0.04,0.0
3207,0.03,0.0
3226,0.03,0.0
3246,0.03,0.0
3266,0.04,0.0
3286,0.04,0.0
3305,0.03,0.0
3325,0.04,0.0
3345,0.01,0.0
3365,0.02,0.0
3385,0.04,0.0
3404,0.06,0.0
3424,0.03,0.0
3444,0.05,0.0
3464,0.04,0.0
3484,0.05,0.0
3503,0.04,0.0
3523,0.02,0.0
3543,0.02,0.0
3563,0.03,0.0
3583,0.03,0.0
3602,0.07,0.0
3622,0.04,0.0
3642,0.04,0.0
3662,0.02,0.0
3682,0.04,0.0
3701,0.02,0.0
3721,0.03,0.0
3741,0.06,0.0
3761,0.02,0.0
3781,0.02,0.0
3800,0.04,0.0
3820,0.02,0.0
3840,0.05,0.0
3860,0.02,0.0
3879,0.03,0.0
3899,0.06,0.0
3919,0.04,0.0
3939,0.06,0.0
3959,0.08,0.0
3978,0.03,0.0
3998,0.02,0.0
4018,0.05,0.0
4038,0.02,0.0
4058,0.04,0.0
4077,0.03,0.0
4097,0.03,0.0
4117,0.04,0.0
4137,0.02,0.0
4157,0.04,0.0
4176,0.03,0.0
4196,0.03,0.0
4216,0.02,0.0
4236,0.02,0.0
4256,0.03,0.0
4275,0.03,0.0
4295,0.04,0.0
4315,0.03,0.0
4335,0.02,0.0
4355,0.02,0.0
4374,0.03,0.0
4394,0.02,0.0
4414,0.05,0.0
4434,0.02,0.0
4453,0.04,0.0
4473,0.03,0.0
4493,0.02,0.0
4513,0.04,0.0
4533,0.02,0.0
4552,0.03,0.0
4572,0.02,0.0
4592,0.04,0.0
4612,0.03,0.0
4632,0.03,0.0
4651,0.03,0.0
4671,0.03,0.0
4691,0.03,0.0
4711,0.03,0.0
4731,0.04,0.0
4750,0.02,0.0
4770,0.03,0.0
4790,0.05,0.0
4810,0.07,0.0
4830,0.04,0.0
4849,0.04,0.0
4869,0.08,0.0
4889,0.03,0.0
4909,0.02,0.0
4929,0.01,0.0
4948,0.03,0.0
4968,0.03,0.0
4988,0.04,0.0
5008,0.03,0.0
5027,0.05,0.0
5047,0.03,0.0
5067,0.05,0.0
5087,0.04,0.0
5107,0.03,0.0
5126,0.05,0.0
5146,0.1,0.0
5166,0.03,0.0
5186,0.04,0.0
5206,0.05,0.0
5225,0.03,0.0
5245,0.04,0.0
5265,0.05,0.0
5285,0.02,0.0
5305,0.05,0.01
5324,0.04,0.01
5344,0.05,0.01
5364,0.02,0.01
5384,0.04,0.0
5404,0.04,0.01
5423,0.05,0.01
5443,0.02,0.0
5463,0.02,0.0
5483,0.04,0.0
5503,0.02,0.0
5522,0.01,0.0
5542,0.01,0.0
5562,0.04,0.0
5582,0.02,0.0
5601,0.07,0.0
5621,0.03,0.0
5641,0.04,0.0
5661,0.03,0.0
5681,0.02,0.0
5700,0.02,0.0
5720,0.07,0.0
5740,0.02,0.0
5760,0.03,0.0
5780,0.04,0.0
5799,0.04,0.0
5819,0.02,0.0
5839,0.08,0.0
5859,0.04,0.0
5879,0.05,0.0
5898,0.04,0.0
5918,0.06,0.0
5938,0.03,0.0
5958,0.04,0.0
5978,0.03,0.0
5997,0.04,0.0
6017,0.03,0.0
6037,0.03,0.0
6057,0.03,0.0
6077,0.02,0.0
6096,0.04,0.0
6116,0.02,0.0
6136,0.04,0.0
6156,0.06,0.0
6175,0.03,0.0
6195,0.02,0.0
6215,0.03,0.0
6235,0.04,0.0
6255,0.03,0.0
6274,0.06,0.0
6294,0.04,0.0
6314,0.04,0.0
6334,0.04,0.0
6354,0.05,0.0
6373,0.04,0.0
6393,0.04,0.0
6413,0.03,0.0
6433,0.04,0.0
6453,0.04,0.0
6472,0.04,0.0
6492,0.06,0.0
6512,0.05,0.0
6532,0.07,0.0
6552,0.04,0.0
6571,0.06,0.0
6591,0.03,0.0
6611,0.04,0.0
6631,0.04,0.0
6651,0.04,0.0
6670,0.04,0.0
6690,0.05,0.0
6710,0.04,0.0
6730,0.04,0.0
6750,0.04,0.0
6769,0.05,0.0
6789,0.05,0.0
6809,0.06,0.0
6829,0.05,0.0
6848,0.04,0.0
6868,0.03,0.0
6888,0.04,0.0
6908,0.06,0.0
6928,0.06,0.0
6947,0.03,0.0
6967,0.03,0.0
6987,0.05,0.0
7007,0.05,0.0
7027,0.04,0.0
7046,0.05,0.0
7066,0.05,0.0
7086,0.04,0.0
7106,0.04,0.0
7126,0.04,0.0
7145,0.06,0.0
7165,0.05,0.0
7185,0.04,0.0
7205,0.07,0.0
7225,0.05,0.0
7244,0.05,0.0
7264,0.04,0.0
7284,0.06,0.0
7304,0.07,0.0
7324,0.04,0.0
7343,0.07,0.0
7363,0.06,0.0
7383,0.08,0.0
7403,0.03,0.0
7422,0.06,0.0
7442,0.04,0.0
7462,0.05,0.0
7482,0.07,0.0
7502,0.05,0.0
7521,0.03,0.0
7541,0.05,0.0
7561,0.05,0.0
7581,0.04,0.0
7601,0.05,0.0
7620,0.05,0.0
7640,0.06,0.0
7660,0.04,0.0
7680,0.04,0.0
7700,0.04,0.0
7719,0.05,0.0
7739,0.06,0.0
7759,0.03,0.0
7779,0.04,0.0
7799,0.04,0.0
7818,0.06,0.0
7838,0.05,0.0
7858,0.08,0.0
7878,0.07,0.0
7898,0.04,0.0
7917,0.02,0.0
7937,0.02,0.0
7957,0.02,0.0
7977,0.05,0.0
7996,0.04,0.0
8016,0.01,0.0
8036,0.05,0.0
8056,0.06,0.0
8076,0.05,0.0
8095,0.07,0.0
8115,0.03,0.0
8135,0.07,0.0
8155,0.07,0.0
8175,0.09,0.0
8194,0.05,0.0
8214,0.05,0.0
8234,0.03,0.0
8254,0.05,0.0
8274,0.07,0.0
8293,0.09,0.0
8313,0.07,0.0
8333,0.09,0.0
8353,0.04,0.0
8373,0.04,0.0
8392,0.05,0.0
8412,0.08,0.0
8432,0.06,0.0
8452,0.04,0.0
8472,0.05,0.0
8491,0.05,0.0
8511,0.05,0.0
8531,0.03,0.0
8551,0.04,0.0
8570,0.02,0.0
8590,0.04,0.0
8610,0.06,0.0
8630,0.06,0.0
8650,0.07,0.0
8669,0.03,0.0
8689,0.05,0.0
8709,0.03,0.0
8729,0.05,0.0
8749,0.05,0.0
8768,0.06,0.0
8788,0.04,0.0
8808,0.07,0.0
8828,0.06,0.0
8848,0.06,0.0
8867,0.03,0.0
8887,0.08,0.0
8907,0.08,0.0
8927,0.06,0.0
8947,0.04,0.0
8966,0.04,0.0
8986,0.05,0.0
9006,0.07,0.0
9026,0.04,0.0
9046,0.06,0.0
9065,0.13,0.0
9085,0.12,0.0
9105,0.07,0.0
9125,0.09,0.0
9144,0.04,0.0
9164,0.06,0.0
9184,0.06,0.0
9204,0.08,0.0
9224,0.11,0.0
9243,0.05,0.0
9263,0.04,0.0
9283,0.12,0.0
9303,0.08,0.0
9323,0.06,0.0
9342,0.08,0.0
9362,0.1,0.0
9382,0.08,0.0
9402,0.06,0.0
9422,0.06,0.0
9441,0.06,0.0
9461,0.09,0.0
9481,0.04,0.0
9501,0.08,0.0
9521,0.06,0.0
9540,0.05,0.0
9560,0.05,0.0
9580,0.08,0.0
9600,0.12,0.0
9620,0.09,0.0
9639,0.02,0.0
9659,0.06,0.0
9679,0.03,0.0
9699,0.08,0.0
9718,0.05,0.0
9738,0.06,0.0
9758,0.09,0.0
9778,0.05,0.0
9798,0.06,0.0
9817,0.06,0.0
9837,0.04,0.0
9857,0.09,0.0
9877,0.05,0.0
9897,0.03,0.0
9916,0.02,0.0
9936,0.03,0.0
9956,0.02,0.0
9976,0.05,0.0
9996,0.02,0.0
10015,0.05,0.0
10035,0.05,0.0
10055,0.03,0.0
10075,0.05,0.0
10095,0.04,0.0
10114,0.05,0.0
10134,0.05,0.0
10154,0.03,0.0
10174,0.13,0.0
10194,0.04,0.0
10213,0.08,0.0
10233,0.08,0.0
10253,0.04,0.0
10273,0.09,0.0
10292,0.04,0.0
10312,0.04,0.0
10332,0.06,0.0
10352,0.05,0.0
10372,0.03,0.0
10391,0.05,0.0
10411,0.03,0.0
10431,0.04,0.0
10451,0.02,0.0
10471,0.09,0.0
10490,0.03,0.0
10510,0.05,0.0
10530,0.06,0.0
10550,0.08,0.0
10570,0.04,0.0
10589,0.04,0.0
10609,0.07,0.0
10629,0.07,0.0
10649,0.05,0.0
10669,0.06,0.0
10688,0.07,0.0
10708,0.06,0.0
10728,0.06,0.0
10748,0.05,0.0
10768,0.05,0.0
10787,0.06,0.0
10807,0.11,0.0
10827,0.08,0.0
10847,0.04,0.0
10866,0.12,0.0
10886,0.02,0.0
10906,0.12,0.0
10926,0.05,0.0
10946,0.11,0.0
10965,0.08,0.0
10985,0.07,0.0
11005,0.04,0.0
11025,0.05,0.0
11045,0.06,0.0
11064,0.02,0.0
11084,0.07,0.0
11104,0.06,0.0
11124,0.03,0.0
11144,0.05,0.0
11163,0.06,0.0
11183,0.06,0.0
11203,0.04,0.0
11223,0.03,0.0
11243,0.03,0.0
11262,0.06,0.0
11282,0.08,0.0
11302,0.02,0.0
11322,0.09,0.0
11342,0.04,0.0
11361,0.04,0.0
11381,0.04,0.0
11401,0.04,0.0
11421,0.06,0.0
11441,0.05,0.0
11460,0.03,0.0
11480,0.06,0.0
11500,0.04,0.0
11520,0.05,0.0
11539,0.06,0.0
11559,0.03,0.0
11579,0.04,0.0
11599,0.05,0.0
11619,0.02,0.0
11638,0.06,0.0
11658,0.03,0.0
11678,0.03,0.0
11698,0.04,0.0
11718,0.02,0.0
11737,0.06,0.0
11757,0.05,0.0
11777,0.04,0.0
11797,0.02,0.0
11817,0.04,0.0
11836,0.05,0.0
11856,0.05,0.0
11876,0.05,0.0
11896,0.02,0.0
11916,0.03,0.0
11935,0.04,0.0
11955,0.06,0.0
11975,0.04,0.0
11995,0.03,0.0
12015,0.02,0.0
12034,0.03,0.0
12054,0.05,0.0
12074,0.02,0.0
12094,0.04,0.0
12113,0.03,0.0
12133,0.04,0.0
12153,0.02,0.0
12173,0.03,0.0
12193,0.06,0.0
12212,0.03,0.0
12232,0.06,0.0
12252,0.03,0.0
12272,0.1,0.0
12292,0.03,0.0
12311,0.03,0.0
12331,0.03,0.0
12351,0.04,0.0
12371,0.04,0.0
12391,0.03,0.0
12410,0.03,0.0
12430,0.02,0.0
12450,0.03,0.0
12470,0.03,0.0
12490,0.08,0.0
12509,0.02,0.0
12529,0.03,0.0
12549,0.05,0.0
12569,0.06,0.0
12589,0.03,0.0
12608,0.03,0.0
12628,0.06,0.0
12648,0.04,0.0
12668,0.05,0.0
12687,0.06,0.0
12707,0.06,0.0
12727,0.04,0.0
12747,0.1,0.0
12767,0.03,0.0
12786,0.05,0.0
12806,0.05,0.0
12826,0.03,0.0
12846,0.04,0.0
12866,0.02,0.0
12885,0.04,0.0
12905,0.04,0.0
12925,0.04,0.0
12945,0.03,0.0
12965,0.05,0.0
12984,0.02,0.0
13004,0.06,0.0
13024,0.07,0.0
13044,0.04,0.0
13064,0.05,0.0
13083,0.02,0.0
13103,0.05,0.0
13123,0.03,0.0
13143,0.06,0.0
13163,0.03,0.0
13182,0.06,0.0
13202,0.09,0.0
13222,0.02,0.0
13242,0.05,0.0
13261,0.05,0.0
13281,0.06,0.0
13301,0.03,0.0
13321,0.04,0.0
13341,0.05,0.0
13360,0.04,0.0
13380,0.04,0.0
13400,0.06,0.0
13420,0.04,0.0
13440,0.02,0.0
13459,0.02,0.0
13479,0.02,0.0
13499,0.03,0.0
13519,0.06,0.0
13539,0.03,0.0
13558,0.03,0.0
13578,0.01,0.0
13598,0.02,0.0
13618,0.02,0.0
13638,0.02,0.0
13657,0.03,0.0
13677,0.01,0.0
13697,0.03,0.0
13717,0.03,0.0
13737,0.03,0.0
13756,0.03,0.0
13776,0.02,0.0
13796,0.01,0.0
13816,0.02,0.0
13835,0.05,0.0
13855,0.03,0.0
13875,0.03,0.0
13895,0.05,0.0
13915,0.02,0.0
13934,0.04,0.0
13954,0.03,0.0
13974,0.04,0.0
13994,0.04,0.0
14014,0.03,0.0
14033,0.02,0.0
14053,0.03,0.0
14073,0.03,0.0
14093,0.03,0.0
14113,0.03,0.0
14132,0.04,0.0
14152,0.03,0.0
14172,0.03,0.0
14192,0.02,0.0
14212,0.03,0.0
14231,0.03,0.0
14251,0.03,0.0
14271,0.03,0.0
14291,0.02,0.0
14311,0.05,0.0
14330,0.04,0.0
14350,0.03,0.0
14370,0.03,0.0
14390,0.02,0.0
14409,0.03,0.05
14429,0.02,0.42
14449,0.02,0.3
14469,0.01,0.43
14489,0.0,0.76
14508,0.01,0.62
14528,0.0,0.81
14548,0.03,0.59
14568,0.0,0.83
14588,0.03,0.53
14607,0.02,0.26
14627,0.03,0.06
14647,0.02,0.03
14667,0.01,0.01
14687,0.03,0.0
14706,0.02,0.0
14726,0.02,0.0
14746,0.02,0.0
14766,0.05,0.0
14786,0.06,0.0
14805,0.02,0.0
14825,0.02,0.0
14845,0.03,0.0
14865,0.02,0.0
14885,0.05,0.0
14904,0.02,0.0
14924,0.04,0.0
14944,0.04,0.0
14964,0.05,0.0
14983,0.02,0.0
15003,0.03,0.0
15023,0.05,0.0
15043,0.02,0.0
15063,0.03,0.0
15082,0.03,0.0
15102,0.06,0.0
15122,0.05,0.0
15142,0.02,0.0
15162,0.03,0.0
15181,0.03,0.0
15201,0.05,0.0
15221,0.02,0.0
15241,0.05,0.0
15261,0.03,0.0
15280,0.05,0.0
15300,0.03,0.0
15320,0.07,0.0
15340,0.1,0.0
15360,0.03,0.0
15379,0.04,0.0
15399,0.05,0.0
15419,0.12,0.0
15439,0.03,0.0
15459,0.06,0.0
15478,0.05,0.0
15498,0.03,0.0
15518,0.02,0.0
15538,0.04,0.0
15558,0.04,0.0
15577,0.03,0.0
15597,0.11,0.0
15617,0.04,0.0
15637,0.03,0.0
15656,0.03,0.0
15676,0.04,0.0
15696,0.02,0.0
15716,0.02,0.0
15736,0.04,0.0
15755,0.04,0.01
15775,0.05,0.01
15795,0.04,0.02
15815,0.05,0.02
15835,0.03,0.02
15854,0.04,0.02
15874,0.04,0.04
15894,0.03,0.01
15914,0.01,0.05
15934,0.02,0.25
15953,0.07,0.29
15973,0.06,0.08
15993,0.08,0.05
16013,0.06,0.1
16033,0.07,0.03
16052,0.02,0.05
16072,0.06,0.02
16092,0.04,0.01
16112,0.04,0.01
16132,0.04,0.02
16151,0.06,0.01
16171,0.06,0.01
16191,0.04,0.01
16211,0.03,0.01
16230,0.06,0.0
16250,0.09,0.0
16270,0.02,0.0
16290,0.04,0.0
16310,0.05,0.0
16329,0.05,0.0
16349,0.04,0.0
16369,0.04,0.0
16389,0.08,0.0
16409,0.03,0.0
16428,0.05,0.0
16448,0.05,0.0
16468,0.08,0.0
16488,0.04,0.0
16508,0.07,0.0
16527,0.04,0.0
16547,0.07,0.0
16567,0.06,0.0
16587,0.05,0.0
16607,0.07,0.0
16626,0.08,0.0
16646,0.07,0.0
16666,0.05,0.0
16686,0.06,0.0
16706,0.05,0.0
16725,0.05,0.0
16745,0.08,0.0
16765,0.03,0.0
16785,0.04,0.0
16804,0.05,0.0
16824,0.06,0.0
16844,0.05,0.0
16864,0.07,0.0
16884,0.1,0.0
16903,0.04,0.0
16923,0.04,0.0
16943,0.06,0.0
16963,0.1,0.0
16983,0.06,0.0
17002,0.03,0.0
17022,0.04,0.0
17042,0.09,0.0
17062,0.06,0.0
17082,0.05,0.0
17101,0.05,0.0
17121,0.11,0.0
17141,0.05,0.0
17161,0.07,0.0
17181,0.07,0.0
17200,0.07,0.0
17220,0.05,0.0
17240,0.05,0.0
17260,0.1,0.0
17280,0.04,0.0
17299,0.07,0.0
17319,0.1,0.0
17339,0.09,0.0
17359,0.06,0.0
17378,0.04,0.0
17398,0.03,0.0
17418,0.05,0.0
17438,0.05,0.0
17458,0.07,0.0
17477,0.04,0.0
17497,0.05,0.0
17517,0.04,0.0
17537,0.04,0.0
17557,0.05,0.0
17576,0.06,0.0
17596,0.05,0.0
17616,0.08,0.0
17636,0.02,0.0
17656,0.08,0.0
17675,0.12,0.0
17695,0.12,0.0
17715,0.06,0.0
17735,0.05,0.0
17755,0.05,0.0
17774,0.03,0.0
17794,0.11,0.0
17814,0.06,0.0
17834,0.12,0.0
17854,0.04,0.0
17873,0.07,0.0
17893,0.03,0.0
17913,0.04,0.02
17933,0.01,0.09
17952,0.03,0.01
17972,0.02,0.0
17992,0.03,0.01
18012,0.03,0.0
18032,0.01,0.0
18051,0.02,0.01
18071,0.02,0.01
18091,0.02,0.01
18111,0.03,0.01
18131,0.02,0.0
18150,0.01,0.0
18170,0.05,0.0
18190,0.05,0.0
18210,0.03,0.0
18230,0.05,0.0
18249,0.03,0.0
18269,0.05,0.0
18289,0.03,0.0
18309,0.08,0.0
18329,0.03,0.0
18348,0.03,0.0
18368,0.08,0.0
18388,0.03,0.0
18408,0.02,0.0
18428,0.03,0.0
18447,0.06,0.0
18467,0.03,0.0
18487,0.04,0.0
18507,0.08,0.0
18526,0.03,0.0
18546,0.05,0.0
18566,0.03,0.0
18586,0.07,0.0
18606,0.03,0.0
18625,0.07,0.0
18645,0.04,0.0
18665,0.05,0.0
18685,0.04,0.0
18705,0.03,0.0
18724,0.05,0.0
18744,0.03,0.0
18764,0.07,0.0
18784,0.02,0.0
18804,0.05,0.0
18823,0.04,0.0
18843,0.03,0.0
18863,0.03,0.0
18883,0.03,0.0
18903,0.08,0.0
18922,0.04,0.0
18942,0.05,0.0
18962,0.03,0.0
18982,0.04,0.0
19002,0.03,0.0
19021,0.04,0.0
19041,0.04,0.0
19061,0.05,0.0
19081,0.16,0.0
19100,0.06,0.0
19120,0.12,0.0
19140,0.04,0.0
19160,0.12,0.0
19180,0.08,0.0
19199,0.05,0.0
19219,0.06,0.0
19239,0.05,0.0
19259,0.07,0.0
19279,0.05,0.0
19298,0.06,0.0
19318,0.06,0.0
19338,0.1,0.0
19358,0.09,0.0
19378,0.06,0.0
19397,0.06,0.0
19417,0.05,0.0
19437,0.09,0.0
19457,0.11,0.0
19477,0.08,0.0
19496,0.05,0.0
19516,0.1,0.0
19536,0.05,0.0
19556,0.09,0.0
19576,0.02,0.0
19595,0.09,0.0
19615,0.09,0.0
19635,0.08,0.0
19655,0.14,0.0
19674,0.04,0.0
19694,0.09,0.0
19714,0.09,0.0
19734,0.1,0.0
19754,0.06,0.0
19773,0.07,0.0
19793,0.05,0.0
19813,0.06,0.0
19833,0.07,0.0
19853,0.07,0.0
19872,0.08,0.0
19892,0.06,0.0
19912,0.07,0.0
19932,0.03,0.0
19952,0.07,0.0
19971,0.03,0.0
19991,0.12,0.0
20011,0.04,0.0
20031,0.02,0.0
20051,0.04,0.0
20070,0.09,0.0
20090,0.12,0.0
20110,0.04,0.0
20130,0.07,0.0
20150,0.04,0.0
20169,0.07,0.0
20189,0.01,0.0
20209,0.02,0.01
20229,0.03,0.01
20249,0.02,0.02
20268,0.09,0.01
20288,0.03,0.0
20308,0.11,0.0
20328,0.03,0.0
20347,0.05,0.0
20367,0.04,0.01
20387,0.06,0.0
20407,0.07,0.0
20427,0.05,0.0
20446,0.07,0.0
20466,0.05,0.0
20486,0.05,0.0
20506,0.05,0.0
20526,0.06,0.0
20545,0.04,0.0
20565,0.04,0.0
20585,0.04,0.0
20605,0.02,0.0
20625,0.05,0.0
20644,0.03,0.0
20664,0.05,0.0
20684,0.04,0.0
20704,0.06,0.0
20724,0.08,0.0
20743,0.04,0.0
20763,0.08,0.0
20783,0.04,0.0
20803,0.04,0.0
20823,0.04,0.0
20842,0.07,0.0
20862,0.05,0.0
20882,0.03,0.0
20902,0.02,0.04
20921,0.04,0.02
20941,0.03,0.01
20961,0.05,0.14
20981,0.12,0.13
21001,0.03,0.22
21020,0.07,0.04
21040,0.04,0.03
21060,0.05,0.01
21080,0.04,0.02
21100,0.02,0.02
21119,0.02,0.01
21139,0.08,0.02
21159,0.08,0.01
21179,0.04,0.01
21199,0.14,0.0
21218,0.08,0.01
21238,0.03,0.0
21258,0.02,0.0
21278,0.02,0.0
21298,0.06,0.0
21317,0.02,0.0
21337,0.04,0.0
21357,0.03,0.0
21377,0.05,0.0
21397,0.02,0.0
21416,0.02,0.0
21436,0.02,0.0
21456,0.02,0.0
21476,0.03,0.0
21495,0.04,0.0
21515,0.05,0.0
21535,0.02,0.0
21555,0.03,0.0
21575,0.03,0.0
21594,0.03,0.0
21614,0.03,0.0
21634,0.05,0.0
21654,0.04,0.0
21674,0.02,0.0
21693,0.06,0.0
21713,0.02,0.0
21733,0.04,0.0
21753,0.02,0.0
